SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN00200201,CN002,China,Zhongcheng Textile,QGJ-11-016B,Knit,circular,,Piqué,Cotton,60,polyester,40,,,100,175,GSM,145,CM,14.81,2.28,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200202,CN002,China,Zhongcheng Textile,WLT-14-23,Knit,circular,,Brushed Jersey,polyester,65,cotton,35,,,100,240,GSM,210,CM,29.25,4.50,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200203,CN002,China,Zhongcheng Textile,ZJ-08-007C,Knit,circular,,Piqué,polyester,65,cotton,35,,,100,180,GSM,195,CM,21.65,3.33,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200204,CN002,China,Zhongcheng Textile,ZWL-15-200,Knit,circular,,Piqué,polyester,65,cotton,35,,,100,190,GSM,190,CM,20.94,3.22,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200205,CN002,China,Zhongcheng Textile,ZC-15-30,Knit,circular,,Piqué,Cotton,100,,,,,100,240,GSM,180,CM,25.1,3.86,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200206,CN002,China,Zhongcheng Textile,QM-13-07,Knit,circular,,Piqué,polyester,65,cotton,35,,,100,180,GSM,190,CM,16.95,2.61,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200207,CN002,China,Zhongcheng Textile,QM-12-27,Knit,circular,,Piqué,polyester,55,cotton,45,,,100,200,GSM,160,CM,17.63,2.71,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200208,CN002,China,Zhongcheng Textile,ZWL-10-91,Knit,circular,,Piqué,polyester,65,cotton,35,,,100,190,GSM,170,CM,17.91,2.76,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No, 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200210,CN002,China,Zhongcheng Textile,ZC-12-46,Knit,circular,,Striped Jersey,rayon ,92,spandex,8,,,100,200,GSM,152,CM,22.55,3.47,meter,,,Mill,1000,kg,500,kg,1000KG/order 500KG/color,No,1500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200211,CN002,China,Zhongcheng Textile,ZC-11-45,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,200,GSM,152,CM,21.64,3.33,meter,,,Mill,1000,kg,500,kg,1000KG/order 500KG/color,No,1500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
