SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN03300304,IN029,India,WALKMAN SYNTHETICS,Oxford Chambray,Woven,,,Oxford,cotton,60,poly,40,,,100,150,gsm,58'',inches,102.00,1.57,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40D x 2/30 Ct / 108 x 48,,,,,,,,,,,
WIN03300305,IN029,India,WALKMAN SYNTHETICS,Blood - Pressure,Woven,,,Fil-A-Fil,cotton,75,poly,25,,,100,115,gsm,58'',inches,101.00,1.55,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40ct x 40ct + 150D / 100 x 80,,,,,,,,,,,
WIN03300306,IN029,India,WALKMAN SYNTHETICS,Bachelor Party,Woven,,,Fil-A-Fil,cotton,75,poly,25,,,100,115,gsm,58'',inches,105.00,1.62,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40ct x 40ct + 150D / 100 x 80,,,,,,,,,,,
WIN03300307,IN029,India,WALKMAN SYNTHETICS,SkyLine,Woven,,,Fil-A-Fil,cotton,80,poly,20,,,100,110,gsm,58'',inches,105.00,1.62,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 cp x 50 cp / 144 x 72,,,,,,,,,,,
WIN03300308,IN029,India,WALKMAN SYNTHETICS,Nice Guy Chambray,Woven,,,Chambray,cotton,75,poly,25,,,100,115,gsm,58'',inches,101.00,1.55,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 ct x 40 pc / 104 x 80,,,,,,,,,,,
WIN03300309,IN029,India,WALKMAN SYNTHETICS,777 Shrting,Woven,,,Fil-A-Fil,cotton,75,poly,25,,,100,110,gsm,58'',inches,101.00,1.55,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40ct x 40ct +150d / 100 x 72,,,,,,,,,,,
WIN03300310,IN029,India,WALKMAN SYNTHETICS,Smart Choice,Woven,,,Chambray,cotton,100,,,,,100,130,gsm,58'',inches,135.00,2.08,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,120 x 80,,,,,,,,,,,
WIN03300311,IN029,India,WALKMAN SYNTHETICS,Limited Edition,Woven,,,Chambray,cotton,100,,,,,100,125,gsm,58'',inches,125.00,1.92,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 120 x 76 ,,,,,,,,,,,
WIN03300312,IN029,India,WALKMAN SYNTHETICS,Dezire,Woven,,,Chambray,cotton,100,,,,,100,95,gsm,58'',inches,135.00,2.08,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 60 / 120 x 76,,,,,,,,,,,
WIN03300313,IN029,India,WALKMAN SYNTHETICS,Diamond Cut,Woven,,,Fil-A-Fil,cotton,75,poly,25,,,100,125,gsm,58'',inches,101.00,1.55,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40ct x 150 D / 120 x 72,,,,,,,,,,,
WIN03300314,IN029,India,WALKMAN SYNTHETICS,Pop Star,Woven,,,Poplin,cotton,100,,,,,100,135,gsm,58'',inches,111.00,1.71,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 144 x 72,,,,,,,,,,,
WIN03300315,IN029,India,WALKMAN SYNTHETICS,Fashion Fever,Woven,,,Twill,cotton,100,,,,,100,240,gsm,58'',inches,153.00,2.35,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 192 x 108,,,,,,,,,,,
WIN03300316,IN029,India,WALKMAN SYNTHETICS,EXTRA ORDINARY,Woven,,,Sateen,cotton,100,,,,,100,240,gsm,"58",inches,155.00,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60SX60S/192 X108,,,,,,,,,,,
WIN03300317,IN029,India,WALKMAN SYNTHETICS,D&G TWILL,Woven,,,Twill,cotton,100,,,,,100,170,gsm,"58",inches,121.00,1.86,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30SX30S/132X72 ,,,,,,,,,,,
